cancer	id.cancer	sex	age	country_name	year	deaths	crude.rate	ASR..W.	Cumulative.risk
		Male		Austria	1956.0	8471			
		Male		Austria	1957.0	8657			
		Male		Austria	1958.0	8870			
		Male		Austria	1959.0	8861			
		Male		Austria	1960.0	9093			
		Male		Austria	1961.0	9264			
		Male		Austria	1962.0	9172			
		Male		Austria	1963.0	9302			
		Male		Austria	1964.0	9264			
		Male		Austria	1965.0	9737			
		Male		Austria	1966.0	9604			
		Male		Austria	1967.0	9761			
		Male		Austria	1968.0	9814			
		Male		Austria	1969.0	9567			
		Male		Austria	1970.0	9778			
		Male		Austria	1971.0	9792			
		Male		Austria	1972.0	9652			
		Male		Austria	1973.0	9785			
		Male		Austria	1974.0	9760			
		Male		Austria	1975.0	9606			
		Male		Austria	1976.0	9741			
		Male		Austria	1977.0	9485			
		Male		Austria	1978.0	9710			
		Male		Austria	1979.0	9668			
		Male		Austria	1980.0	9754			
		Male		Austria	1981.0	9622			
		Male		Austria	1982.0	9457			
		Male		Austria	1983.0	9367			
		Male		Austria	1984.0	9531			
		Male		Austria	1985.0	9311			
		Male		Austria	1986.0	9304			
		Male		Austria	1987.0	9418			
		Male		Austria	1988.0	9413			
		Male		Austria	1989.0	9474			
		Male		Austria	1990.0	9666			
		Male		Austria	1991.0	9795			
		Male		Austria	1992.0	9710			
		Male		Austria	1993.0	9879			
		Male		Austria	1994.0	9500			
		Male		Austria	1995.0	9624			
		Male		Austria	1996.0	9614			
		Male		Austria	1997.0	9631			
		Male		Austria	1998.0	9624			
		Male		Austria	1999.0	9610			
		Male		Austria	2000.0	9524			
		Male		Austria	2001.0	9519			
		Male		Austria	2002.0	9745			
		Male		Austria	2003.0	10054			
		Male		Austria	2004.0	10047			
		Male		Austria	2005.0	9997			
		Male		Austria	2006.0	10097			
		Male		Austria	2007.0	9988			
		Male		Austria	2008.0	10561			
		Male		Austria	2009.0	10469			
		Male		Austria	2010.0	10465			
		Female		Azerbaijan	1981.0	2062			
		Female		Azerbaijan	1982.0	2254			
		Female		Azerbaijan	1985.0	2298			
		Female		Azerbaijan	1986.0	2502			
		Female		Azerbaijan	1987.0	2423			
		Female		Azerbaijan	1988.0	2394			
		Female		Azerbaijan	1989.0	2112			
		Female		Azerbaijan	1990.0	1983			
		Female		Azerbaijan	1991.0	1939			
		Female		Azerbaijan	1992.0	2104			
		Female		Azerbaijan	1993.0	2018			
		Female		Azerbaijan	1994.0	2117			
		Female		Azerbaijan	1995.0	2022			
		Female		Azerbaijan	1996.0	1904			
		Female		Azerbaijan	1997.0	1989			
		Female		Azerbaijan	1998.0	2123			
		Female		Azerbaijan	1999.0	2264			
		Female		Azerbaijan	2000.0	2144			
		Female		Azerbaijan	2001.0	2368			
		Female		Azerbaijan	2002.0	2587			
		Female		Azerbaijan	2003.0	2744			
		Female		Azerbaijan	2004.0	2759			
		Female		Azerbaijan	2007.0	2211			
		Male		Azerbaijan	1981.0	2735			
		Male		Azerbaijan	1982.0	2800			
		Male		Azerbaijan	1985.0	2853			
		Male		Azerbaijan	1986.0	3176			
		Male		Azerbaijan	1987.0	3225			
		Male		Azerbaijan	1988.0	3350			
		Male		Azerbaijan	1989.0	3033			
		Male		Azerbaijan	1990.0	2821			
		Male		Azerbaijan	1991.0	2864			
		Male		Azerbaijan	1992.0	2967			
		Male		Azerbaijan	1993.0	2896			
		Male		Azerbaijan	1994.0	2868			
		Male		Azerbaijan	1995.0	2736			
		Male		Azerbaijan	1996.0	2794			
		Male		Azerbaijan	1997.0	2815			
		Male		Azerbaijan	1998.0	2810			
		Male		Azerbaijan	1999.0	2933			
		Male		Azerbaijan	2000.0	2929			
		Male		Azerbaijan	2001.0	3087			
		Male		Azerbaijan	2002.0	3272			
		Male		Azerbaijan	2003.0	3553			
		Male		Azerbaijan	2004.0	3348			
		Male		Azerbaijan	2007.0	2808			
		Female		Belarus	1981.0	5782			
		Female		Belarus	1982.0	5819			
		Female		Belarus	1985.0	6402			
		Female		Belarus	1986.0	6638			
		Female		Belarus	1987.0	6839			
		Female		Belarus	1988.0	7040			
		Female		Belarus	1989.0	7277			
		Female		Belarus	1990.0	7482			
		Female		Belarus	1991.0	7584			
		Female		Belarus	1992.0	7820			
		Female		Belarus	1993.0	7628			
		Female		Belarus	1994.0	7599			
		Female		Belarus	1995.0	7869			
		Female		Belarus	1997.0	7778			
		Female		Belarus	1998.0	7925			
		Female		Belarus	1999.0	8063			
		Female		Belarus	2000.0	7857			
		Female		Belarus	2001.0	7974			
		Female		Belarus	2002.0	7868			
		Female		Belarus	2003.0	7518			
		Female		Belarus	2007.0	7531			
		Female		Belarus	2008.0	7641			
		Female		Belarus	2009.0	7439			
		Male		Belarus	1981.0	6699			
		Male		Belarus	1982.0	7037			
		Male		Belarus	1985.0	8064			
		Male		Belarus	1986.0	8433			
		Male		Belarus	1987.0	8738			
		Male		Belarus	1988.0	9314			
		Male		Belarus	1989.0	9909			
		Male		Belarus	1990.0	10058			
		Male		Belarus	1991.0	10418			
		Male		Belarus	1992.0	10984			
		Male		Belarus	1993.0	11169			
		Male		Belarus	1994.0	11189			
		Male		Belarus	1995.0	11561			
		Male		Belarus	1997.0	11674			
		Male		Belarus	1998.0	11628			
		Male		Belarus	1999.0	11749			
		Male		Belarus	2000.0	11579			
		Male		Belarus	2001.0	11482			
		Male		Belarus	2002.0	11477			
		Male		Belarus	2003.0	11204			
		Male		Belarus	2007.0	10639			
		Male		Belarus	2008.0	10766			
		Male		Belarus	2009.0	10731			
		Female		Belgium	1954.0	8932			
		Female		Belgium	1955.0	9073			
		Female		Belgium	1956.0	9158			
		Female		Belgium	1957.0	9314			
		Female		Belgium	1958.0	9535			
		Female		Belgium	1959.0	9426			
		Female		Belgium	1960.0	9741			
		Female		Belgium	1961.0	9709			
		Female		Belgium	1962.0	10164			
		Female		Belgium	1963.0	10142			
		Female		Belgium	1964.0	9981			
		Female		Belgium	1965.0	10093			
		Female		Belgium	1966.0	10300			
		Female		Belgium	1967.0	10243			
		Female		Belgium	1968.0	10408			
		Female		Belgium	1969.0	10154			
		Female		Belgium	1970.0	10332			
		Female		Belgium	1971.0	10516			
		Female		Belgium	1972.0	10412			
		Female		Belgium	1973.0	10367			
		Female		Belgium	1974.0	10397			
		Female		Belgium	1975.0	10621			
		Female		Belgium	1976.0	10571			
		Female		Belgium	1977.0	10580			
		Female		Belgium	1978.0	11200			
		Female		Belgium	1979.0	10972			
		Female		Belgium	1980.0	10993			
		Female		Belgium	1981.0	11307			
		Female		Belgium	1982.0	11366			
		Female		Belgium	1983.0	11393			
		Female		Belgium	1984.0	11379			
		Female		Belgium	1985.0	11333			
		Female		Belgium	1986.0	11615			
		Female		Belgium	1987.0	11192			
		Female		Belgium	1988.0	11313			
		Female		Belgium	1989.0	11601			
		Female		Belgium	1990.0	11336			
		Female		Belgium	1991.0	11450			
		Female		Belgium	1992.0	11637			
		Female		Belgium	1993.0	11626			
		Female		Belgium	1994.0	11792			
		Female		Belgium	1995.0	11903			
		Female		Belgium	1996.0	11643			
		Female		Belgium	1997.0	11805			
		Female		Belgium	1998.0	11849			
		Female		Belgium	1999.0	11568			
		Female		Belgium	2000.0	11163			
		Female		Belgium	2001.0	11229			
		Female		Belgium	2002.0	11311			
		Female		Belgium	2003.0	11152			
		Female		Belgium	2004.0	11081			
		Female		Belgium	2005.0	11163			
		Female		Belgium	2006.0	11301			
		Female		Belgium	2007.0	11649			
		Female		Belgium	2008.0	11834			
		Female		Belgium	2009.0	11880			
		Female		Belgium	2010.0	11991			
		Male		Belgium	1954.0	9032			
		Male		Belgium	1955.0	9329			
		Male		Belgium	1956.0	9456			
		Male		Belgium	1957.0	9734			
		Male		Belgium	1958.0	9903			
		Male		Belgium	1959.0	10300			
		Male		Belgium	1960.0	10960			
		Male		Belgium	1961.0	11040			
		Male		Belgium	1962.0	11392			
		Male		Belgium	1963.0	11853			
		Male		Belgium	1964.0	11613			
		Male		Belgium	1965.0	12152			
		Male		Belgium	1966.0	12245			
		Male		Belgium	1967.0	12681			
		Male		Belgium	1968.0	12848			
		Male		Belgium	1969.0	13029			
		Male		Belgium	1970.0	12999			
		Male		Belgium	1971.0	13461			
		Male		Belgium	1972.0	13551			
		Male		Belgium	1973.0	13819			
		Male		Belgium	1974.0	13808			
		Male		Belgium	1975.0	14161			
		Male		Belgium	1976.0	14156			
		Male		Belgium	1977.0	14566			
		Male		Belgium	1978.0	15202			
		Male		Belgium	1979.0	15112			
		Male		Belgium	1980.0	15273			
		Male		Belgium	1981.0	15676			
		Male		Belgium	1982.0	15455			
		Male		Belgium	1983.0	15648			
		Male		Belgium	1984.0	15574			
		Male		Belgium	1985.0	15883			
		Male		Belgium	1986.0	15605			
		Male		Belgium	1987.0	15650			
		Male		Belgium	1988.0	15966			
		Male		Belgium	1989.0	15694			
		Male		Belgium	1990.0	15587			
		Male		Belgium	1991.0	15575			
		Male		Belgium	1992.0	15751			
		Male		Belgium	1993.0	16098			
		Male		Belgium	1994.0	16026			
		Male		Belgium	1995.0	16271			
		Male		Belgium	1996.0	15968			
		Male		Belgium	1997.0	16069			
		Male		Belgium	1998.0	15637			
		Male		Belgium	1999.0	15329			
		Male		Belgium	2000.0	15166			
		Male		Belgium	2001.0	15129			
		Male		Belgium	2002.0	15124			
		Male		Belgium	2003.0	14822			
		Male		Belgium	2004.0	14710			
		Male		Belgium	2005.0	15103			
		Male		Belgium	2006.0	14862			
		Male		Belgium	2007.0	14952			
		Male		Belgium	2008.0	15413			
		Male		Belgium	2009.0	15143			
		Male		Belgium	2010.0	15381			
		Female		Belize	1964.0	31			
		Female		Belize	1965.0	22			
		Female		Belize	1966.0	29			
		Female		Belize	1967.0	13			
		Female		Belize	1968.0	17			
		Female		Belize	1969.0	28			
		Female		Belize	1970.0	20			
		Female		Belize	1971.0	23			
		Female		Belize	1972.0	37			
		Female		Belize	1973.0	26			
		Female		Belize	1974.0	25			
		Female		Belize	1975.0	31			
		Female		Belize	1976.0	23			
		Female		Belize	1977.0	21			
		Female		Belize	1979.0	18			
		Female		Belize	1983.0	25			
		Female		Belize	1984.0	20			
		Female		Belize	1986.0	23			
		Female		Belize	1987.0	25			
		Female		Belize	1989.0	32			
		Female		Belize	1990.0	27			
		Female		Belize	1991.0	21			
		Female		Belize	1993.0	28			
		Female		Belize	1994.0	37			
		Female		Belize	1995.0	36			
		Female		Belize	1996.0	33			
		Female		Belize	1997.0	53			
		Female		Belize	1998.0	87			
		Female		Belize	1999.0	64			
		Female		Belize	2000.0	68			
		Female		Belize	2001.0	75			
		Female		Belize	2002.0	61			
		Female		Belize	2003.0	65			
		Female		Belize	2004.0	88			
		Female		Belize	2005.0	67			
		Female		Belize	2006.0	75			
		Female		Belize	2007.0	91			
		Female		Belize	2008.0	75			
		Female		Belize	2009.0	66			
		Female		Belize	2010.0	94			
		Male		Belize	1964.0	21			
		Male		Belize	1965.0	23			
		Male		Belize	1966.0	12			
		Male		Belize	1967.0	7			
		Male		Belize	1968.0	18			
		Male		Belize	1969.0	14			
		Male		Belize	1970.0	20			
		Male		Belize	1971.0	22			
		Male		Belize	1972.0	31			
		Male		Belize	1973.0	20			
		Male		Belize	1974.0	15			
		Male		Belize	1975.0	22			
		Male		Belize	1976.0	20			
		Male		Belize	1977.0	24			
		Male		Belize	1979.0	12			
		Male		Belize	1983.0	33			
		Male		Belize	1984.0	29			
		Male		Belize	1986.0	27			
		Male		Belize	1987.0	39			
		Male		Belize	1989.0	30			
		Male		Belize	1990.0	27			
		Male		Belize	1991.0	30			
		Male		Belize	1993.0	29			
		Male		Belize	1994.0	40			
		Male		Belize	1995.0	46			
		Male		Belize	1996.0	36			
		Male		Belize	1997.0	78			
		Male		Belize	1998.0	93			
		Male		Belize	1999.0	92			
		Male		Belize	2000.0	69			
