id.cancer	sex	age	country_name	year	cases.number
	Female		Belarus	2002	21932
	Female		Belarus	2003	21010
	Female		Belarus	2007	20953
	Female		Belarus	2008	21262
	Female		Belarus	2009	19692
	Male		Belarus	1981	17738
	Male		Belarus	1982	18677
	Male		Belarus	1985	21348
	Male		Belarus	1986	22190
	Male		Belarus	1987	23037
	Male		Belarus	1988	24634
	Male		Belarus	1989	26100
	Male		Belarus	1990	26493
	Male		Belarus	1991	27478
	Male		Belarus	1992	28966
	Male		Belarus	1993	29526
	Male		Belarus	1994	29609
	Male		Belarus	1995	30672
	Male		Belarus	1997	30932
	Male		Belarus	1998	30944
	Male		Belarus	1999	31320
	Male		Belarus	2000	30853
	Male		Belarus	2001	30584
	Male		Belarus	2002	30933
	Male		Belarus	2003	30189
	Male		Belarus	2007	28783
	Male		Belarus	2008	29109
	Male		Belarus	2009	29026
	Female		Belgium	1954	23512
	Female		Belgium	1955	27939
	Female		Belgium	1956	28239
	Female		Belgium	1957	28640
	Female		Belgium	1958	29460
	Female		Belgium	1959	29416
	Female		Belgium	1960	30108
	Female		Belgium	1961	29941
	Female		Belgium	1962	31328
	Female		Belgium	1963	31238
	Female		Belgium	1964	30625
	Female		Belgium	1965	31030
	Female		Belgium	1966	31719
	Female		Belgium	1967	31320
	Female		Belgium	1968	31841
	Female		Belgium	1969	31768
	Female		Belgium	1970	32280
	Female		Belgium	1971	32769
	Female		Belgium	1972	32381
	Female		Belgium	1973	32324
	Female		Belgium	1974	32342
	Female		Belgium	1975	32811
	Female		Belgium	1976	33065
	Female		Belgium	1977	32049
	Female		Belgium	1978	34451
	Female		Belgium	1979	34891
	Female		Belgium	1980	34247
	Female		Belgium	1981	35008
	Female		Belgium	1982	35106
	Female		Belgium	1983	35130
	Female		Belgium	1984	35922
	Female		Belgium	1985	33592
	Female		Belgium	1986	36483
	Female		Belgium	1987	33056
	Female		Belgium	1988	33635
	Female		Belgium	1989	34310
	Female		Belgium	1990	33229
	Female		Belgium	1991	33599
	Female		Belgium	1992	36184
	Female		Belgium	1993	36292
	Female		Belgium	1994	36897
	Female		Belgium	1995	37042
	Female		Belgium	1996	35410
	Female		Belgium	1997	36921
	Female		Belgium	1998	36958
	Female		Belgium	1999	36031
	Female		Belgium	2000	34429
	Female		Belgium	2001	34693
	Female		Belgium	2002	34943
	Female		Belgium	2003	34401
	Female		Belgium	2004	34159
	Female		Belgium	2005	34324
	Female		Belgium	2006	34658
	Female		Belgium	2007	35597
	Female		Belgium	2008	36063
	Female		Belgium	2009	36466
	Female		Belgium	2010	36316
	Male		Belgium	1954	24249
	Male		Belgium	1955	27579
	Male		Belgium	1956	27776
	Male		Belgium	1957	28815
	Male		Belgium	1958	29191
	Male		Belgium	1959	30365
	Male		Belgium	1960	32091
	Male		Belgium	1961	31891
	Male		Belgium	1962	32929
	Male		Belgium	1963	34383
	Male		Belgium	1964	33107
	Male		Belgium	1965	34692
	Male		Belgium	1966	34909
	Male		Belgium	1967	35743
	Male		Belgium	1968	36685
	Male		Belgium	1969	37617
	Male		Belgium	1970	37088
	Male		Belgium	1971	38076
	Male		Belgium	1972	38161
	Male		Belgium	1973	38879
	Male		Belgium	1974	38869
	Male		Belgium	1975	39765
	Male		Belgium	1976	39529
	Male		Belgium	1977	39825
	Male		Belgium	1978	41819
	Male		Belgium	1979	42082
	Male		Belgium	1980	42498
	Male		Belgium	1981	43426
	Male		Belgium	1982	42992
	Male		Belgium	1983	43041
	Male		Belgium	1984	43073
	Male		Belgium	1985	42876
